time,seconds_elapsed,z,y,x
1772557485172405000,0.105405029296875,0.021226942539215088,0.03680354729294777,0.17378604412078857
1772557485192302000,0.125302001953125,-0.01175880990922451,0.03924693539738655,0.10170606523752213
1772557485232095000,0.165094970703125,-0.016645587980747223,0.09666658192873001,0.07238540053367615
1772557485251992600,0.18499267578125,0.0029015245381742716,0.0844496339559555,0.1041494607925415
1772557485271889700,0.2048896484375,0.05787777900695801,0.031916771084070206,0.11147962510585785
1772557485291785700,0.22478564453125,0.14217470586299896,-0.005955760832875967,0.05650337040424347
1772557485311682600,0.2446826171875,0.23991025984287262,0.029473381116986275,-0.04856235533952713
1772557485331580400,0.264580322265625,0.32909396290779114,0.05024218559265137,-0.13652436435222626
1772557485351477200,0.284477294921875,0.3755183517932892,-0.004734066314995289,-0.16706672310829163
1772557485371373300,0.304373291015625,0.3498627543449402,-0.1122431829571724,-0.15362808108329773
1772557485391270100,0.324270263671875,0.27656111121177673,-0.17454960942268372,-0.091321662068367
1772557485411167700,0.344167724609375,0.18493400514125824,-0.17210622131824493,0.003970507066696882
1772557485431064800,0.36406494140625,0.08842013776302338,-0.1378987729549408,0.11636640131473541
1772557485450961000,0.3839609375,-0.010537114925682545,-0.09636115282773972,0.22754059731960297
1772557485470857700,0.403857666015625,-0.10582929104566574,-0.0719272643327713,0.28129515051841736
1772557485490755600,0.423755615234375,-0.19745637476444244,-0.03527642786502838,0.2507528066635132
1772557485510652400,0.44365234375,-0.2805316150188446,0.02214321307837963,0.1432436853647232
1772557485530548500,0.463548583984375,-0.2964136302471161,0.05635065957903862,-0.011911521665751934
1772557485550445300,0.4834453125,-0.2560977041721344,0.06612421572208405,-0.1304158866405487
1772557485570343200,0.50334326171875,-0.1913478970527649,0.0587940476834774,-0.20371755957603455
1772557485590240000,0.523239990234375,-0.1498102843761444,0.05390727147459984,-0.25747212767601013
1772557485610136000,0.543135986328125,-0.15591876208782196,0.05024218559265137,-0.22692975401878357
1772557485630033000,0.563032958984375,-0.17057909071445465,0.046577103435993195,-0.08154810965061188
1772557485649930500,0.582930419921875,-0.1644706279039383,0.06612421572208405,0.09437590092420578
1772557485669827600,0.60282763671875,-0.15836215019226074,0.0844496339559555,0.23364907503128052
1772557485689723600,0.6227236328125,-0.1766875684261322,0.07711946964263916,0.27029991149902344
1772557485709620500,0.642620361328125,-0.20234315097332,0.072232685983181,0.21165858209133148
1772557485729518300,0.662518310546875,-0.21822518110275269,0.07711946964263916,0.1053711548447609
1772557485749415200,0.682415283203125,-0.21333840489387512,0.09422318637371063,-0.008246437646448612
1772557485769311200,0.702311279296875,-0.19623468816280365,0.10155335813760757,-0.10109522193670273
1772557485789208000,0.7222080078125,-0.19989976286888123,0.07956285774707794,-0.12675081193447113
1772557485809106000,0.74210595703125,-0.2011214643716812,0.014813045971095562,-0.05467082932591438
1772557485829002800,0.762002685546875,-0.18768282234668732,-0.05604523420333862,0.05405998229980469
1772557485848898800,0.78189892578125,-0.17913095653057098,-0.08292251825332642,0.1310267299413681
1772557485868795600,0.801795654296875,-0.18768282234668732,-0.07925742864608765,0.1823379099369049
1772557485888693500,0.821693603515625,-0.18523943424224854,-0.07437065243721008,0.20066332817077637
1772557485908590300,0.84159033203125,-0.1754658818244934,-0.05482354015111923,0.1566823273897171
