time,seconds_elapsed,z,y,x
1772558244188651300,0.1136513671875,-0.35261157155036926,-0.2796153426170349,-0.21959958970546722
1772558244208548000,0.133548095703125,-0.333064466714859,-0.29061058163642883,-0.2611372172832489
1772558244228444000,0.15344384765625,-0.30740886926651,-0.20020519196987152,-0.2476985603570938
1772558244248340700,0.1733408203125,-0.3220692276954651,-0.10857810080051422,-0.2110477238893509
1772558244268238300,0.19323828125,-0.35383328795433044,-0.05482354015111923,-0.21593450009822845
1772558244288135200,0.21313525390625,-0.32573428750038147,-0.0010689827613532543,-0.21837788820266724
1772558244308031200,0.23303125,-0.20356485247612,0.013591351918876171,-0.14141114056110382
1772558244327928000,0.252927978515625,-0.0594048947095871,0.03558185324072838,-0.0522274412214756
1772558244347825700,0.27282568359375,0.0016798300202935934,-0.024281177669763565,-0.08643488585948944
1772558244367722200,0.29272216796875,-0.06306997686624527,-0.1513374149799347,-0.23059484362602234
1772558244387618300,0.312618408203125,-0.12904147803783417,-0.19287502765655518,-0.27946263551712036
1772558244407515100,0.33251513671875,-0.14492350816726685,-0.20142687857151031,-0.15484978258609772
1772558244427412700,0.352412841796875,-0.14858859777450562,-0.15866757929325104,-0.06810946762561798
1772558244447309600,0.3723095703125,-0.14248012006282806,-0.1391204595565796,-0.17928366363048553
1772558244467205600,0.39220556640625,-0.15469707548618317,-0.13423368334770203,-0.19027891755104065
1772558244487102200,0.412102294921875,-0.19745637476444244,-0.1378987729549408,0.14690876007080078
1772558244506999800,0.431999755859375,-0.2707580327987671,-0.0975828468799591,0.5024218559265137
1772558244526896600,0.451896728515625,-0.32695600390434265,-0.18065807223320007,0.5781669020652771
1772558244546792700,0.471792724609375,-0.32695600390434265,-0.23441264033317566,0.44011545181274414
1772558244566689500,0.491689453125,-0.32939937710762024,-0.004734066314995289,0.3399364948272705
1772558244586587100,0.511587158203125,-0.4747810363769531,0.40453359484672546,0.4559974670410156
1772558244606484000,0.53148388671875,-0.6519267559051514,0.5474718809127808,0.7235485911369324
1772558244626379800,0.5513798828125,-0.7191199064254761,0.30068957805633545,0.8945857882499695
1772558244646276600,0.571276611328125,-0.6885775923728943,-0.01572931744158268,0.6245913505554199
1772558244666174200,0.59117431640625,-0.617719292640686,-0.19654010236263275,-0.015576604753732681
1772558244686071000,0.611071044921875,-0.5322006940841675,-0.14645062386989594,-0.4211791753768921
1772558244705966800,0.630966796875,-0.43324342370033264,-0.08903098851442337,-0.2721324563026428
1772558244725864000,0.650864013671875,-0.32573428750038147,-0.15500248968601227,0.03695625811815262
1772558244745761300,0.67076123046875,-0.2683146595954895,-0.11712995916604996,0.0393996499478817
1772558244765658000,0.690658203125,-0.2707580327987671,0.04046862944960594,-0.2648022770881653
1772558244785554200,0.71055419921875,-0.27808821201324463,0.07589777559041977,-0.38697174191474915
1772558244805451000,0.730450927734375,-0.22433365881443024,-0.03894151374697685,-0.12797249853610992
1772558244825348600,0.7503486328125,-0.12781979143619537,-0.22463907301425934,0.20555010437965393
1772558244845245400,0.770245361328125,-0.014202198944985867,-0.40544986724853516,0.3900259733200073
1772558244865141200,0.790141357421875,0.06276455521583557,-0.39201122522354126,0.4205683469772339
1772558244885038000,0.8100380859375,0.10063708573579788,-0.1623326539993286,0.3423798978328705
1772558244904935700,0.829935791015625,0.09941539168357849,0.024586603045463562,0.14935214817523956
1772558244924832500,0.84983251953125,0.0590994730591774,0.07467607408761978,-0.13530266284942627
1772558244944728300,0.869728271484375,0.004123218823224306,0.09544488787651062,-0.3955236077308655
1772558244964625200,0.889625244140625,-0.0032069480512291193,0.10399674624204636,-0.509141206741333
1772558244984522800,0.909522705078125,0.033443886786699295,0.0978882759809494,-0.41507071256637573
1772558245004419600,0.929419677734375,0.04443913698196411,0.10521844029426575,-0.25380703806877136
1772558245044212500,0.96921240234375,0.004123218823224306,0.00259610079228878,0.12613995373249054
1772558245064110000,0.989110107421875,0.10918894410133362,-0.009620844386518002,0.25563958287239075
1772558245084006700,1.009006591796875,0.14217470586299896,0.17363333702087402,-0.06322269141674042
1772558245103902700,1.02890283203125,0.05421269312500954,0.3434488773345947,-0.005803049076348543
1772558245123799600,1.048799560546875,0.020005248486995697,0.2835858464241028,0.3509317636489868
1772558245143697200,1.068697265625,0.029778804630041122,0.14431266486644745,-0.16584503650665283
1772558245163594000,1.088593994140625,0.12140589207410812,0.01969982497394085,-0.9013051390647888
1772558245183489800,1.10848974609375,0.24479703605175018,-0.021837789565324783,-0.7388197779655457
1772558245203386600,1.12838671875,0.23868857324123383,0.24449162185192108,0.275186687707901
1772558245223284200,1.1482841796875,0.19592925906181335,0.5108210444450378,0.9739959836006165
1772558245243181000,1.16818115234375,0.21181128919124603,0.47172680497169495,0.5696150660514832
1772558245263076900,1.188076904296875,0.21058958768844604,0.23471805453300476,-0.3686463236808777
1772558245282973700,1.2079736328125,0.21425467729568481,0.01725643500685692,-0.6484143733978271
1772558245302871300,1.227871337890625,0.23380178213119507,-0.20142687857151031,-0.23303823173046112
1772558245322768100,1.24776806640625,0.23624517023563385,-0.36635565757751465,0.0662769302725792
1772558245342664200,1.267664306640625,0.2313583940267563,-0.3309265077114105,0.00030542362947016954
1772558245362561000,1.28756103515625,0.22036315500736237,-0.21120044589042664,-0.027793550863862038
1772558245382458600,1.307458740234375,0.15683503448963165,-0.07803573459386826,-0.08521319180727005
1772558245402355200,1.327355224609375,0.018783552572131157,0.06001574173569679,-0.28190600872039795
1772558245422251300,1.347251220703125,-0.17180079221725464,0.10888352245092392,-0.4627167880535126
1772558245442148000,1.367148193359375,-0.335507869720459,0.00015271181473508477,-0.42484426498413086
1772558245462045700,1.387045654296875,-0.4002576768398285,-0.11835165321826935,-0.16584503650665283
1772558245481942500,1.406942626953125,-0.3758237659931183,-0.1647760421037674,0.18722468614578247
1772558245501838300,1.42683837890625,-0.3086305856704712,-0.1501157134771347,0.4584408700466156
1772558245521735200,1.446735107421875,-0.22311195731163025,-0.27472856640815735,0.6526902914047241
1772558245541632800,1.4666328125,-0.15714046359062195,-0.40544986724853516,0.8115105628967285
1772558245561529600,1.486529541015625,-0.11560284346342087,-0.3370349705219269,0.7345438003540039
1772558245581425400,1.50642529296875,-0.08017370104789734,-0.2160872220993042,0.2348707765340805
1772558245601322200,1.526322265625,-0.1644706279039383,-0.10002623498439789,0.02351761981844902
1772558245621219800,1.5462197265625,-0.3868190348148346,-0.0022906772792339325,0.2996205687522888
1772558245641116700,1.56611669921875,-0.5370874404907227,-0.042606595903635025,0.08582404255867004
1772558245661012700,1.5860126953125,-0.2707580327987671,-0.24907296895980835,-0.3295520842075348
1772558245680909300,1.605909423828125,0.14828316867351532,-0.35413870215415955,-0.30633988976478577
1772558245700807200,1.62580712890625,0.27289602160453796,-0.28938889503479004,0.4840964674949646
1772558245720703700,1.645703857421875,0.10796725004911423,-0.03771981969475746,1.206117868423462
1772558245740599800,1.665599853515625,-0.11682453751564026,0.29091599583625793,0.8029587268829346
1772558245760496600,1.68549658203125,-0.2292204350233078,0.4253024160861969,-0.3381039500236511
1772558245780394200,1.705394287109375,-0.17302247881889343,0.24693500995635986,-0.9281824231147766
1772558245800291000,1.725291015625,-0.072843536734581,-0.06704048812389374,-0.744928240776062
1772558245820187000,1.745186767578125,-0.008093725889921188,-0.34070006012916565,-0.4480564594268799
1772558245840083700,1.765083740234375,0.04443913698196411,-0.3859027624130249,-0.3393256664276123
1772558245859981300,1.784981201171875,0.05421269312500954,-0.1391204595565796,-0.15973655879497528
1772558245879878100,1.804878173828125,0.029778804630041122,0.11499200016260147,0.046729814261198044
1772558245899774000,1.82477392578125,0.009009997360408306,0.20661908388137817,0.10781454294919968
1772558245919670800,1.8446708984375,-0.009315420873463154,0.12354385852813721,0.02473931387066841
1772558245939568400,1.864568359375,-0.06917845457792282,0.01969982497394085,-0.05344913527369499
1772558245959465200,1.88446533203125,-0.14248012006282806,-0.04504998400807381,0.016187451779842377
1772558245979361000,1.904361083984375,-0.1754658818244934,-0.0841442123055458,0.18844637274742126
1772558245999257900,1.9242578125,-0.17180079221725464,-0.059710320085287094,0.2214321345090866
